vastuu,lc,lpref,lalts,lLTs,PÄÄTÖS,KOMMENTIT,yc,ypref,yLTs,tyyppi
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L860,peräpohjalaismurteet,,murteet,exactMatch,,http://www.yso.fi/onto/yso/p26397,peräpohjalaismurteet (suomen kieli),pohjalaismurteet (suomen kieli),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L51,peräpohjalaisuus,,alueellinen identiteetti,ei löydy,pohjalaisuus kyllä löytyy,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L934,peskit,,turkit,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L5,petoeläimet,pedot,,exactMatch,"Lapponicassa petolinnut on petoeläinten alla, YSOssa petoeläimet on rajattu nisäkkäisiin",http://www.yso.fi/onto/yso/p14567,petoeläimet,nisäkkäät,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L713,petolinnut,,linnut; petoeläimet,exactMatch,,http://www.yso.fi/onto/yso/p8680,petolinnut,linnut; lihansyöjät,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L937,petovahingot,,,exactMatch,,http://www.yso.fi/onto/yso/p20698,petovahingot,vahingot,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L938,petsamolaiset,,,exactMatch,,http://www.yso.fi/onto/yso/p16203,petsamolaiset,alueelliseen identiteettiin liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L939,Petsamon luostari,,luostarit,exactMatch,,http://www.yso.fi/onto/yso/p12255,Petsamon luostari,luostarit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L705,peuralaisuus,,lestadiolaisuus,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L940,peuranpyynti,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L313,peurat,,,exactMatch,,http://www.yso.fi/onto/yso/p27948,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L942,pidginkielet,,sekakielet,exactMatch,,http://www.yso.fi/onto/yso/p5322,pidginkielet,sekakielet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L275,piekana,,linnut; haukat,exactMatch,,http://www.yso.fi/onto/yso/p24358,piekana,haukat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L287,pietismi,,,exactMatch,,http://www.yso.fi/onto/yso/p8672,pietismi,herätysliikkeet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L66,piirihallinto,,väliportaan hallinto,exactMatch,,http://www.yso.fi/onto/yso/p10452,piirihallinto,väliportaan hallinto; valtionhallinto,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L945,piitimensaame,arjeploginsaame,saamen kieli,exactMatch,,http://www.yso.fi/onto/yso/p29565,piitimensaame,saamen kieli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L800,pirkat,,merkkikapulat,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L420,pirkkalaiset,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L948,pitäjät (vain hist.),,,exactMatch,,http://www.yso.fi/onto/yso/p12991,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L486,pohjoinen ulottuvuus,,kansainvälinen yhteistyö,exactMatch,,http://www.yso.fi/onto/yso/p7993,pohjoinen ulottuvuus,yhteiskunnalliset järjestelmät,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L950,pohjoiset kansat (Venäjä),,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1169,Pohjoiskalotti,,,exactMatch,,http://www.yso.fi/onto/yso/p94349,Pohjoiskalotti,,P
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L164,Pohjoiskalotti : yhteistyö,,kansainvälinen yhteistyö; pohjoismainen yhteistyö,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L951,pohjoiskalottikonferenssit,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L487,pohjoismainen yhteistyö,,kansainvälinen yhteistyö,exactMatch,,http://www.yso.fi/onto/yso/p9290,pohjoismainen yhteistyö,kansainvälinen yhteistyö,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L113,pohjoisnapa,,napa-alueet,exactMatch,,http://www.yso.fi/onto/yso/p15051,pohjoisnapa,napa-alueet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L952,pohjoissaame,tunturisaame,saamen kieli,exactMatch,,http://www.yso.fi/onto/yso/p25600,pohjoissaame,saamen kieli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L953,poikkinainti,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L336,polaarieskimot,inughut,inuitit,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L123,polaaritutkimus,,tutkimustyö,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L955,Poljarnyje Zori,,ydinvoimalat,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L555,pomorikauppa,,kauppa; pomorit,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L958,pomorit,,,exactMatch,,http://www.yso.fi/onto/yso/p28753,pomorit,väestöryhmään liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L314,poro,,,exactMatch,,http://www.yso.fi/onto/yso/p12662,poro,hirvieläimet; peura,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L960,poro : kuolleisuus,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L962,poro : kuormaus,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L964,poro : lypsy,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L966,poro : sarvet,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L967,poro : vasat,,vasat,ei löydy,YSOsta löytyy vasat yleisesti,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L969,poro : vasonta,vasonta,,ei löydy,YSOsta löytyy vasominen yleisesti,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L970,poroaidat,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L971,poroerotus,,,exactMatch,,http://www.yso.fi/onto/yso/p17778,poroerotus,poronhoito,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L188,porokilpailut,,eläinurheilu,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L604,porokoirat,,koira,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L975,porolaidunsopimukset,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L976,poromerkit,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L977,poromiehet,,,exactMatch,,http://www.yso.fi/onto/yso/p16312,poromiehet,ammatit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L979,poromäärät,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L978,poronhoitajat,,,ei löydy,,,,,
