"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/mag","mag",
"http://lexvo.org/id/iso639-3/mah","mah","mh"
"http://lexvo.org/id/iso639-3/mai","mai",
"http://lexvo.org/id/iso639-3/mak","mak",
"http://lexvo.org/id/iso639-3/mlt","mlt","mt"
"http://lexvo.org/id/iso639-3/mnc","mnc",
"http://lexvo.org/id/iso639-3/mdr","mdr",
"http://lexvo.org/id/iso639-3/mni","mni",
"http://lexvo.org/id/iso639-3/mri","mao","mi"
"http://lexvo.org/id/iso639-5/map","map",
"http://lexvo.org/id/iso639-3/mar","mar","mr"
"http://lexvo.org/id/iso639-3/men","men",
"http://lexvo.org/id/iso639-3/mga","mga",
"http://lexvo.org/id/iso639-3/mic","mic",
"http://lexvo.org/id/iso639-3/min","min",
"http://lexvo.org/id/iso639-3/mis","mis",
"http://lexvo.org/id/iso639-5/mkh","mkh",
"http://lexvo.org/id/iso639-5/mno","mno",
"http://lexvo.org/id/iso639-3/moh","moh",
"http://lexvo.org/id/iso639-3/mos","mos",
"http://lexvo.org/id/iso639-5/mun","mun",
"http://lexvo.org/id/iso639-3/mwl","mwl",
"http://lexvo.org/id/iso639-3/mwr","mwr",
"http://lexvo.org/id/iso639-5/myn","myn",
"http://lexvo.org/id/iso639-3/nau","nau","na"
"http://lexvo.org/id/iso639-5/nah","nah",
"http://lexvo.org/id/iso639-5/nai","nai",
"http://lexvo.org/id/iso639-3/nav","nav","nv"
"http://lexvo.org/id/iso639-3/nbl","nbl","nr"
"http://lexvo.org/id/iso639-3/nep","nep","ne"
"http://lexvo.org/id/iso639-3/new","new",
"http://lexvo.org/id/iso639-3/nia","nia",
"http://lexvo.org/id/iso639-5/nic","nic",
"http://lexvo.org/id/iso639-3/niu","niu",
"http://lexvo.org/id/iso639-3/tvl","tvl",
"http://lexvo.org/id/iso639-3/nog","nog",
"http://lexvo.org/id/iso639-3/non","non",
"http://lexvo.org/id/iso639-3/nqo","nqo",
"http://lexvo.org/id/iso639-3/nso","nso",
"http://lexvo.org/id/iso639-5/nub","nub",
"http://lexvo.org/id/iso639-3/ori","ori","or"
"http://lexvo.org/id/iso639-3/tsi","tsi",
"http://lexvo.org/id/iso639-3/nwc","nwc",
"http://lexvo.org/id/iso639-3/nym","nym",
"http://lexvo.org/id/iso639-3/nyn","nyn",
"http://lexvo.org/id/iso639-3/nyo","nyo",
"http://lexvo.org/id/iso639-3/nzi","nzi",
"http://lexvo.org/id/iso639-3/oji","oji","oj"
"http://lexvo.org/id/iso639-3/oss","oss","os"
"http://lexvo.org/id/iso639-3/osa","osa",
"http://lexvo.org/id/iso639-3/ota","ota",
"http://lexvo.org/id/iso639-5/oto","oto",
"http://lexvo.org/id/iso639-3/pan","pan","pa"
"http://lexvo.org/id/iso639-5/paa","paa",
"http://lexvo.org/id/iso639-3/pag","pag",
"http://lexvo.org/id/iso639-3/pal","pal",
"http://lexvo.org/id/iso639-3/pau","pau",
"http://lexvo.org/id/iso639-3/pap","pap",
"http://lexvo.org/id/iso639-3/peo","peo",
"http://lexvo.org/id/iso639-3/pli","pli","pi"
"http://lexvo.org/id/iso639-3/pon","pon",
"http://lexvo.org/id/iso639-5/pra","pra",
"http://lexvo.org/id/iso639-3/pro","pro",
"http://lexvo.org/id/iso639-3/pus","pus","ps"
"http://lexvo.org/id/iso639-3/que","que","qu"
"http://lexvo.org/id/iso639-3/raj","raj",
"http://lexvo.org/id/iso639-3/rap","rap",
"http://lexvo.org/id/iso639-3/rar","rar",
"http://lexvo.org/id/iso639-3/run","run","rn"
"http://lexvo.org/id/iso639-5/roa","roa",
"http://lexvo.org/id/iso639-3/rup","rup",
"http://lexvo.org/id/iso639-3/sad","sad",
"http://lexvo.org/id/iso639-3/sag","sag","sg"
"http://lexvo.org/id/iso639-3/sah","sah",
"http://lexvo.org/id/iso639-5/sai","sai",
"http://lexvo.org/id/iso639-5/sal","sal",
"http://lexvo.org/id/iso639-3/sam","sam",
"http://lexvo.org/id/iso639-3/smo","smo","sm"
"http://lexvo.org/id/iso639-3/sat","sat",
"http://lexvo.org/id/iso639-3/sas","sas",
"http://lexvo.org/id/iso639-3/srd","srd","sc"
"http://lexvo.org/id/iso639-3/scn","scn",
"http://lexvo.org/id/iso639-3/snd","snd","sd"
"http://lexvo.org/id/iso639-3/sel","sel",
"http://lexvo.org/id/iso639-5/sem","sem",
"http://lexvo.org/id/iso639-3/sot","sot","st"
"http://lexvo.org/id/iso639-3/sga","sga",
"http://lexvo.org/id/iso639-3/shn","shn",
"http://lexvo.org/id/iso639-3/sid","sid",
"http://lexvo.org/id/iso639-5/sio","sio",
"http://lexvo.org/id/iso639-5/sit","sit",
"http://lexvo.org/id/iso639-3/suk","suk",
"http://lexvo.org/id/iso639-5/sla","sla",
"http://lexvo.org/id/iso639-3/smj","smj",
"http://lexvo.org/id/iso639-3/snk","snk",
"http://lexvo.org/id/iso639-3/sog","sog",
"http://lexvo.org/id/iso639-3/srn","srn",
"http://lexvo.org/id/iso639-3/srr","srr",
"http://lexvo.org/id/iso639-3/ssw","ssw","ss"
"http://lexvo.org/id/iso639-5/ssa","ssa",
"http://lexvo.org/id/iso639-3/sun","sun","su"
"http://lexvo.org/id/iso639-3/sus","sus",
"http://lexvo.org/id/iso639-3/sux","sux",
"http://lexvo.org/id/iso639-3/syr","syr",
"http://lexvo.org/id/iso639-3/tgl","tgl","tl"
"http://lexvo.org/id/iso639-3/tah","tah","ty"
"http://lexvo.org/id/iso639-3/tgk","tgk","tg"
"http://lexvo.org/id/iso639-3/tig","tig",
"http://lexvo.org/id/iso639-3/tem","tem",
"http://lexvo.org/id/iso639-3/ter","ter",
"http://lexvo.org/id/iso639-3/tet","tet",
"http://lexvo.org/id/iso639-3/tir","tir","ti"
